,incode1,count,count_perc,ALC_perc,,
1,3GY10VA,520563,35.31,8.99,,
2,NA,276093,18.73,9.28,,
3,3OT20WC,51733,3.51,5.88,,
4,3OT10VA,51567,3.5,7.51,,
5,3AN20WA,50820,3.45,20.99,,
6,3ER20WA,49731,3.37,21.85,,
7,3AN20VA,44273,3,18.38,,
8,3VA10VA,44030,2.99,31.25,,HIP Xray
9,3ER20VA,37546,2.55,20.2,,
10,2HZ24JAXJ,25325,1.72,7.81,,
11,3OT30DA,25080,1.7,5.48,,
12,3OT20WA,16781,1.14,8.07,,
13,1LZ35HHC7,16155,1.1,15.08,,
14,1GZ35CAR3,13931,0.94,7.1,,
15,3OT20VA,13741,0.93,8.4,,
16,1GZ31CBND,13595,0.92,8.5,,
17,1GZ31CAND,12297,0.83,9.82,,
18,1PM52CATS,11054,0.75,15.61,,
19,3SC10VA,10465,0.71,25.37,,Spinal Xray
20,3JY20WC,9677,0.66,5.61,,
21,3VG10VA,7161,0.49,25.72,,
22,3SQ10VA,5603,0.38,30.97,,pelvis Xray
23,2ZZ13RA,5393,0.37,9.2,,
24,1ZZ35HA1C,4768,0.32,11.83,,
25,3GY20WC,4433,0.3,7.31,,
26,3WA10VA,4378,0.3,25.88,,
27,1NF52CAQN,4338,0.29,6.34,,
28,3VC10VA,4270,0.29,31.78,,
29,3KR30DC,4201,0.28,15.52,,
30,3TA10VA,3614,0.25,31.07,,
31,3WG10VA,3448,0.23,18.24,,
32,1HZ09JAJF,2751,0.19,4.25,,
33,3ZZ20WC,2737,0.19,9.68,,
34,1ZZ35HAC1,2717,0.18,6.33,,
35,1GZ32CAMY,2592,0.18,13,,
36,3SC20WA,2488,0.17,25.92,,
37,3VQ10VA,2385,0.16,26.71,,
38,3JX20WC,2380,0.16,14.58,,
39,1ZZ35HAK4,2248,0.15,8.41,,
40,3SC20VA,2210,0.15,24.39,,
41,1IS53GRLF,2129,0.14,11.27,,
42,2NQ70CA,1997,0.14,6.51,,
43,3GY20WA,1997,0.14,8.71,,
44,1YA80LA,1902,0.13,21.08,,
45,3ER20WC,1846,0.13,14.68,,
46,3VZ20VA,1781,0.12,33.41,,
47,1GV52HAHE,1747,0.12,7.33,,
48,1NF53CATS,1679,0.11,6.55,,
49,3VZ20WA,1668,0.11,32.07,,
50,3OT20WE,1623,0.11,5.55,,
51,1WA73JA,1617,0.11,28.01,,
52,1HZ30JN,1592,0.11,4.96,,
53,3GY20VA,1565,0.11,9.07,,
54,2PM58VD,1540,0.1,13.51,,
55,3AN20WC,1533,0.1,12.39,,
56,3TK10VA,1421,0.1,32.44,,
57,3TM10VA,1410,0.1,18.65,,
58,3UB10VA,1342,0.09,21.09,,
59,3GT10VA,1273,0.09,6.6,,
60,3KE20WC,1199,0.08,9.34,,
61,3GT20WC,1191,0.08,6.47,,
62,2ZZ13RE,1145,0.08,10.13,,
63,3GY30DA,1125,0.08,6.04,,
64,1GZ31CAEP,1095,0.07,8.49,,
65,1HZ09JAFS,1085,0.07,4.42,,
66,1YB80LA,1063,0.07,18.25,,
67,3ER20WE,1040,0.07,17.12,,
68,3SL10VA,1010,0.07,21.58,,
69,3AN20WE,995,0.07,15.68,,
70,1ZZ35HAP2,922,0.06,8.57,,
71,1VA73JA,920,0.06,22.93,,
72,1VG52HA,840,0.06,15.83,,
73,1GV52HA,765,0.05,9.15,,
74,1OT52HA,765,0.05,9.67,,
75,1KX53HAFT,757,0.05,5.68,,
76,3KR30DD,755,0.05,12.32,,
77,3SC40WA,732,0.05,28.96,,
78,1NP73JH,731,0.05,4.51,,
79,3FY20WC,702,0.05,4.27,,
80,1TA73JA,701,0.05,25.82,,
81,3ID20WC,690,0.05,7.97,,
82,3SC40VA,688,0.05,26.16,,
83,2AX13HA,684,0.05,12.28,,
84,1ET13CANP,674,0.05,2.37,,
85,3EQ10VA,661,0.04,4.39,,
86,1TV73JA,655,0.04,27.33,,
87,1UB73JA,650,0.04,32.46,,
88,3KR30DA,635,0.04,14.65,,
89,3PC30DA,630,0.04,6.98,,
90,3IP30DA,622,0.04,5.95,,
91,2HZ24JAKE,615,0.04,6.34,,
92,3UZ10VA,608,0.04,18.91,,
93,3JE20WC,588,0.04,11.73,,
94,1YF80LA,579,0.04,17.62,,
95,1ZZ35HAK9,572,0.04,9.09,,
96,3PC20WA,567,0.04,5.29,,
97,1ZZ35HAL1,558,0.04,11.65,,
98,1GJ50CANG,540,0.04,10.93,,
99,1KV53HACH,522,0.04,6.7,,
100,3PS10VA,521,0.04,6.53,,
101,3GT20WA,515,0.03,6.6,,
102,3KG20WC,475,0.03,12.84,,
103,3KG30DC,475,0.03,10.74,,
104,3ZZ20VA,457,0.03,13.13,,
