"","prvserv1","count","count_perc","ALC_perc","ALC_count"
"1",3,875713,59.4,12.7,111231
"2",1,410492,27.84,9.96,40888
"3",10,90702,6.15,13.04,11831
"4",30,23071,1.56,5.4,1245
"5",34,15344,1.04,27.41,4206
"6",12,10399,0.71,4.61,479
"7",39,5709,0.39,2.35,134
"8",17,5216,0.35,14.13,737
"9",15,4197,0.28,5.55,233
"10",18,3970,0.27,8.39,333
"11",32,3632,0.25,14.98,544
"12",16,3360,0.23,8.45,284
"13",37,3246,0.22,7.09,230
"14",74,3143,0.21,11.52,362
"15",55,2310,0.16,14.59,337
"16",11001,1748,0.12,8.12,142
"17",57,1541,0.1,9.8,151
"18",66,1357,0.09,7.15,97
"19",36,1128,0.08,4.26,48
"20",60,1033,0.07,3,31
"21",72,943,0.06,12.73,120
"22",11003,869,0.06,9.78,85
"23",0,774,0.05,4.13,32
"24",75,526,0.04,16.92,89
"25",50,499,0.03,4.01,20
"26",35,463,0.03,5.18,24
"27",31,408,0.03,4.17,17
"28",2,405,0.03,18.77,76
"29",14,403,0.03,12.9,52
"30",96,348,0.02,9.77,34
"31",NA,205,0.01,9.76,20
"32",4,163,0.01,10.43,17
"33",64,120,0.01,30.83,37
"34",19,107,0.01,13.08,14
"35",11000,106,0.01,10.38,11
