> icd3_top <- icd %>% group_by(c3) %>% summarise( n= n(),
+ perc = round(n/nrow(df) * 100,digits=2),
+ alc_perc_grp = mean(alc_n) * 100) %>%
+ arrange(desc(alc_perc_grp)) %>% filter(n > 1000) %>% print(n=200)
Source: local data frame [163 x 4]

       c3     n  perc alc_perc_grp
    (chr) (int) (dbl)        (dbl)
1     F03  5735  0.38   48.9799477
2     Z74  1521  0.10   43.6554898
3     Z73  6355  0.42   40.3776554
4     S32 12056  0.79   37.2345720
5     R64  9160  0.60   37.0742358
6     M96  1289  0.08   36.1520559
7     R29 10134  0.66   35.9680284
8     G20  1208  0.08   35.4304636
9     S42  6484  0.42   33.3127699
10    S79  1277  0.08   33.1245106
11    S72 62382  4.08   30.6097913
12    S70  1171  0.08   29.9743809
13    Z04  1440  0.09   29.7916667
14    S82 10265  0.67   28.8455918
15    R26  1594  0.10   27.9171895
16    M62  1700  0.11   26.8235294
17    F05 15589  1.02   25.5628969
18    S39  1010  0.07   25.2475248
19    M48  1062  0.07   24.8587571
20    S00  1092  0.07   23.6263736
21    S12  2275  0.15   23.4725275
22    R53 29221  1.91   23.1751138
23    S22  6177  0.40   21.8552695
24    R41 21374  1.40   21.5355104
25    M79  4380  0.29   21.2328767
26    M54 10608  0.69   21.1915535
27    I63 23399  1.53   21.0906449
28    S52  4072  0.27   20.6777996
29    S09  3568  0.23   20.5437220
30    S01  2610  0.17   20.3448276
31    M25  4943  0.32   20.0283229
32    I61  6023  0.39   19.4089324
33    I64 25226  1.65   18.9526679
34    S02  1237  0.08   18.5125303
35    C61  1095  0.07   17.8995434
36    T84  2670  0.17   16.8539326
37    S06 12980  0.85   16.6255778
38    C71  1024  0.07   16.4062500
39    R60  2574  0.17   16.0450660
40    I62  5784  0.38   15.8367911
41    C79  3525  0.23   15.8014184
42    M86  1055  0.07   15.7345972
43    G93  1145  0.07   15.2838428
44    E86  9736  0.64   14.8829088
45    Z51  6175  0.40   13.6518219
46    F10  2623  0.17   13.6484941
47    E83  2289  0.15   13.6304063
48    C34  5605  0.37   13.5593220
49    E14  3806  0.25   13.4524435
50    N39 48216  3.16   13.0682761
51    R40  1152  0.08   12.9340278
52    L03 14863  0.97   12.8910718
53    N19  2568  0.17   12.8894081
54    N18  1619  0.11   12.6621371
55    I70  1091  0.07   12.6489459
56    R56  6165  0.40   12.5060827
57    I60  1972  0.13   12.4746450
58    D43  1225  0.08   12.4081633
59    C18  1736  0.11   12.0391705
60    E10  1347  0.09   12.0267261
61    E11 12219  0.80   11.7931091
62    S27  1291  0.08   11.6963594
63    K74  1119  0.07   11.6175156
64    A04  2925  0.19   11.5213675
65    M00  1689  0.11   11.4860864
66    C25  1688  0.11   11.3744076
67    N17 21262  1.39   11.1889756
68    R52  2379  0.16   11.1391341
69    C78  2698  0.18   11.0081542
70    R57  2408  0.16   11.0049834
71    I99  2141  0.14   10.7893508
72    J96  6115  0.40   10.3352412
73    K59  3820  0.25   10.2879581
74    K63  2552  0.17   10.1880878
