"","OR","CI_lower","CI_upper","pv"
"(Intercept)",0.137135167352056,0.136206278321654,0.138070391147943,0
"charl_index1",0.99028301356337,0.978277863389309,1.00243548755625,0.116623353396211
"charl_index2",0.89488663046811,0.88092035868253,0.909074326069892,0
"charl_index3",0.874660196426049,0.854768363879814,0.895014943861005,0
"charl_index4",0.838511167216989,0.799698022448935,0.879208098320006,3.24407167795471e-13
"charl_index5",0.875428860825024,0.794620412211146,0.964455076396601,0.00709312477787605
"charl_index6",1.17319315068937,1.13021762496854,1.21780278277182,0
"charl_index7",1.09334208599518,1.00949629835006,1.18415185767601,0.0283666673403866
"charl_index8",1.17717803538991,1.0403236750899,1.33203555795718,0.00968321625026736
"charl_index9",1.16362907610019,0.886017952169891,1.5282225641475,0.275821003963647
"charl_index10",0.586718721893591,0.271640530785964,1.26725882041398,0.174735136581872
"charl_index11",0.972276739141999,0.222336149098933,4.25176949995638,0.970207583830393
"charl_index12",1.45841510876656,0.170378494494809,12.4838210114796,0.730492555168989
"charl_index13",0.0102851895332941,1.73255210952474e-16,610573980166.177,0.777279464598695
"(Intercept)",0.138559125894031,0.137729361248486,0.139393889541684,0
"quan_index1",0.776512959846213,0.764685143016934,0.788523724196083,0
"quan_index2",1.09050125800169,1.07353074593255,1.10774004210774,0
"quan_index3",0.734560879719913,0.712852822811504,0.7569299983786,0
"quan_index4",0.801363380676017,0.753837211821904,0.851885868484048,1.25588428545598e-12
"quan_index5",0.87809876920999,0.760813652913784,1.01346426360132,0.0755419069566479
"quan_index6",1.15826868687994,1.11898683869164,1.19892951786209,0
"quan_index7",1.09273531947326,0.975437355686068,1.2241385584259,0.125833639506075
"quan_index8",1.13298831999838,0.917547527767203,1.39901475880651,0.245917763951032
"quan_index9",1.1236259015479,0.74325889080545,1.69864791696089,0.580395905765875
"quan_index10",0.769827797166717,0.371353932551726,1.59587602376612,0.481869056844298
"quan_index11",0.656103236212111,0.0847034606958688,5.08209998778715,0.68658509343458
"quan_index12",0.0101794896490276,1.71474711421214e-16,604299075098.729,0.776790107593142
"(Intercept)",0.138079186527201,0.137278026487081,0.138885022169283,0
"van_walraven",0.986383359978012,0.984993748980427,0.987774931413141,0
"(Intercept)",0.137135167381241,0.136206285100093,0.138070384335504,0
"charl_index_grp1",0.990283013607573,0.978277959363734,1.00243538930133,0.116620416088902
"charl_index_grp2",0.894886632371556,0.880920715037216,0.909073962193603,0
"charl_index_grp3",0.874660199563231,0.85476906631595,0.895014214771796,0
"charl_index_grpOth",1.02350744702359,0.996931724812599,1.0507916119428,0.0834412030026064
"(Intercept)",0.136718948675708,0.135949543874444,0.13749270791415,0
"charl_index_binMore",0.913515372584315,0.902459871808526,0.924706307744746,0
"(Intercept)",0.138559125919368,0.137729366461118,0.139393884317033,0
"quan_index_grp1",0.776512983327321,0.764686276235185,0.78852260334073,0
"quan_index_grp2",1.09050125788869,1.07353078223475,1.10774000441915,0
"quan_index_grp3",0.734560936450006,0.712856527133389,0.756926181945928,0
"quan_index_grpOth",1.04650943005411,1.01719473961464,1.07666894503119,0.00171206018420356
"(Intercept)",0.132839777710237,0.132107851978249,0.133575758578004,0
"quan_index_binMore",1.05072006676344,1.03715864405611,1.06445881257066,8.34887714518118e-14
