"","OR","CI_lower","CI_upper","pv"
"(Intercept)",0.132880002283256,0.132148327997997,0.133615727677355,0
"R1",0.968992947634986,0.957079392892141,0.981054800196868,6.02592948872882e-07
"(Intercept)",0.1414138509055,0.140657415840835,0.142174353967601,0
"I1",0.670243247766077,0.661010439412759,0.679605017395958,0
"(Intercept)",0.139686028060294,0.138965563761755,0.140410227592163,0
"J1",0.582635333054296,0.572381460653401,0.593072897462081,0
"(Intercept)",0.144078064410685,0.143347444946003,0.144812407728292,0
"K1",0.332278719378304,0.324759705551787,0.339971817513795,0
"(Intercept)",0.11166698524135,0.1110502616465,0.112287133843821,0
"S1",3.40452208116572,3.36082002662231,3.44879241058138,0
"(Intercept)",0.132643576895791,0.131970759165917,0.133319824807476,0
"N1",0.923921892957038,0.904264589634565,0.944006515427403,5.52669021658403e-13
"(Intercept)",0.13197813700462,0.131316097157282,0.132643514574971,0
"E1",1.01385333231688,0.986834316034316,1.04161211537591,0.318120960947593
"(Intercept)",0.132991555438386,0.132326465495344,0.133659988209566,0
"A1",0.794960525422115,0.77173654500512,0.818883388469329,0
"(Intercept)",0.129399367367407,0.12874908626115,0.13005293288934,0
"M1",1.98013831037679,1.9285911580727,2.03306320876229,0
"(Intercept)",0.132880420842823,0.132220407565571,0.133543728751623,0
"T1",0.696866142660539,0.669246278045636,0.725625882006719,0
"(Intercept)",0.131750097863063,0.131094033335792,0.132409445687468,0
"C1",1.11959484530897,1.08107527788793,1.15948689539117,2.54529064491749e-10
"(Intercept)",0.133071017962269,0.132410948882797,0.13373437748859,0
"D1",0.601631157543962,0.575332916123301,0.629131481241576,0
"(Intercept)",0.128060896909482,0.12741647807053,0.128708574947293,0
"F1",3.15457414163189,3.07153799832604,3.23985508903877,0
"(Intercept)",0.131461020233255,0.130807522360809,0.132117782898593,0
"G1",1.33568900932938,1.28534608339132,1.38800370786997,0
"(Intercept)",0.129632308339076,0.128984627495946,0.13028324143391,0
"Z1",2.69858498224634,2.61336749382856,2.78658126865153,0
"(Intercept)",0.131846723209346,0.131192444285964,0.132504265132452,0
"L1",1.12007177964614,1.07316475713381,1.16902906400909,2.04624128086195e-07
"(Intercept)",0.1322219328506,0.131569326475361,0.132877776265144,0
"Oth1",0.657899743062158,0.598674149077737,0.722984402429995,0
