"","","2.5 %","97.5 %","pv"
"(Intercept)",-2.17718136469952,-2.18477304940086,-2.16960499546366,0
"female_flag1",0.278190738486369,0.268188979374128,0.288196840557851,0
"(Intercept)",-2.15350609274547,-2.17669670520176,-2.13045683137046,0
"triage2",-0.0936443280885869,-0.118143243839424,-0.0690223491579631,7.8159700933611e-14
"triage3",0.283032832515852,0.258996336151487,0.307198502041038,0
"triage4",0.398153357659807,0.367665087907635,0.428683085641207,0
"triage5",0.479001257572236,0.40531816382046,0.551706586489024,0
"triage9",-0.256084729601215,-0.38855676403627,-0.128043889345931,0.000114976979661563
"(Intercept)",-2.02617423323711,-2.03121061716765,-2.0211443370561,0
"clidecunitflagY",0.0428186494783704,0.016315377271483,0.0691580698513691,0.00149111070268848
"(Intercept)",-2.37627250022288,-2.91077790525233,-1.91056455413432,0
"btanyN",0.357703635765073,-0.10803260961984,0.892230517993926,0.158182370628897
"btanyY",-0.0472177284693329,-0.515138026661827,0.488964612587989,0.852784494179704
"(Intercept)",-2.03017049211806,-2.4622027059328,-1.64110369393559,0
"cacsanetech2",0.019643846500144,-0.394466711812066,0.471867711441086,0.928896974281433
"cacsanetech3",0.133183900333368,-0.258149047109228,0.56705170556365,0.525235100129995
"cacsanetech4",0.1534094117241,-0.239033642944306,0.588175839833533,0.46539826562693
"cacsanetech8",0.00234390580390579,-0.386756697589505,0.434403513973141,0.991035222608854
"(Intercept)",-2.83690398065302,-2.85347009764611,-2.82041894505253,0
"cacscode_grpB002",0.296840970877144,0.272886614051464,0.320789039555112,0
"cacscode_grpB003",-0.0608168442497216,-0.0865626660239934,-0.0351058645884684,3.60126808640615e-06
"cacscode_grpB004",1.73616014876924,1.71562144266226,1.75674237921342,0
"cacscode_grpB005",1.13824300598493,1.12001991823328,1.1565300357522,0
"cacscode_grpOther",0.519721077179309,0.478173287347777,0.560950220495472,0
"(Intercept)",-2.51291666508174,-2.52178612069186,-2.50406008790225,0
"cacsitcnt",0.42518709535771,0.419324424461078,0.431048541874053,0
"(Intercept)",-1.98322198723246,-1.98915445104156,-1.9772984171681,0
"cacsitcnt12",0.288682236113532,0.273184739754778,0.30414087381057,0
"(Intercept)",-2.0182879693229,-2.0232828745328,-2.01329943190905,0
"cacspartitionD",-0.277606054206018,-0.313525109260107,-0.242022258433565,0
"cacspartitionI",-0.459648816077045,-0.689625946991453,-0.243661846034315,5.16019170206938e-05
"(Intercept)",-2.02694376422087,-2.03190831108202,-2.02198552280235,0
"glscomaMild",0.376052660084566,0.312389129959532,0.438822770078636,0
"glscomaModerate",0.453689858031983,0.31299953330896,0.590183191908231,1.37164279934154e-10
"glscomaSevere",-0.297620091508093,-0.492658494511265,-0.112469470864878,0.00212506071711371
"(Intercept)",-2.9679278215697,-3.00060437091864,-2.93556976061285,0
"complaint1_grp257",0.374788279343999,0.315045249859047,0.434124675414209,0
"complaint1_grp260",-0.157071641338195,-0.241060597664959,-0.0745556802489931,0.000216946780968286
"complaint1_grp3",-0.515755126508237,-0.572550630133245,-0.459306656211437,0
"complaint1_grp4",0.165453436237304,0.0858750651287635,0.243814428720126,4.00884968581039e-05
"complaint1_grp401",1.06307085419511,1.01491636670613,1.11120113641351,0
"complaint1_grp402",1.70190681370925,1.65672607320919,1.74716309793095,0
"complaint1_grp403",0.528916977943102,0.45509861009202,0.601824067251224,0
"complaint1_grp407",1.60689312723072,1.5498215400874,1.6637767890497,0
"complaint1_grp409",1.40179149661761,1.35763365332777,1.44603189548717,0
"complaint1_grp5",0.0187090937096694,-0.0629018617485775,0.0989864870447636,0.650489231231628
"complaint1_grp551",1.6601506715944,1.61002472395063,1.71024934537099,0
"complaint1_grp555",1.80154212631403,1.758041093676,1.84515549723491,0
"complaint1_grp557",2.19101515302512,2.15216284876659,2.23007214633862,0
"complaint1_grp651",0.341920017405362,0.303474727922475,0.380556403635691,0
"complaint1_grp653",0.359644636332818,0.283959977223279,0.434313299394083,0
"complaint1_grp7",1.42823176909204,1.39153092645986,1.46516687548288,0
